구별,살인,강간,강도,절도,폭력,살인검거율,강간검거율,강도검거율,절도검거율,폭력검거율,범죄,검거
강남구,0.10256410256410264,0.5250506781537148,0.2631578947368421,0.41604966975693514,0.7475830830771333,76.92307692307693,77.728285077951,85.71428571428571,42.857142857142854,86.48459383753502,369.7073844099915,2.054405428288728
강동구,0.08333333333333337,0.5453204168585903,0.6140350877192982,0.09426207085409954,0.3261816773491848,75.0,78.84615384615384,133.33333333333331,33.34742180896027,82.89085545722715,403.4177644456746,1.6631325861145063
강북구,0.47619047619047594,0.6089071856287422,0.31578947368421056,0.42413998744576165,1.0,114.28571428571428,82.35294117647058,92.85714285714286,43.09623430962343,88.63722159305398,421.2292542220051,2.825027122949191
강서구,0.47619047619047594,0.43751571284911095,0.3684210526315789,0.9999999999999998,0.5444315870959322,114.28571428571428,72.90076335877863,100.0,60.1145038167939,84.75210477081384,432.05308623210067,2.826558828767098
관악구,0.2222222222222222,0.36791845995508976,0.4912280701754386,0.0,0.0,88.88888888888889,69.0625,116.66666666666667,30.56171470805617,80.10915706488781,385.28892732849954,1.0813687523527507
광진구,0.33333333333333326,0.7777881736526941,1.0,0.3938447421346205,0.3445637603967686,100.0,91.66666666666666,185.71428571428572,42.2009253139458,83.04761904761905,502.62949674251723,2.8495300095174163
구로구,0.08333333333333337,0.173909742791996,0.17192982456140343,0.25415842827874924,0.0901487528849696,75.0,58.362989323843415,73.33333333333333,38.07280513918629,80.87795144662454,325.64707924298756,0.7734800818504517
금천구,0.6666666666666664,0.580652436848158,0.3684210526315789,0.8834049155065631,0.7453363204505852,133.33333333333331,80.79470198675497,100.0,56.66879387364391,86.46543330087634,457.26226249460854,3.244481392103552
노원구,0.33333333333333326,0.2293648743122889,0.3684210526315789,0.2017945943287709,0.6357254480484809,100.0,61.42131979695431,100.0,36.52530779753762,85.53066470804261,383.4772923025345,1.768639302654453
도봉구,0.33333333333333326,1.0,0.4502923976608187,0.48744501092293446,0.8814351386049548,100.0,103.921568627451,111.11111111111111,44.96707431796801,87.62609280430397,447.62584686083414,3.152505880522041
동대문구,0.33333333333333326,0.645899674639161,0.3684210526315789,0.3562656525599106,0.8551444165884661,100.0,84.39306358381504,100.0,41.090358404846036,87.40188383045526,412.8853058191163,2.55906412975245
동작구,0.33333333333333326,0.0,0.04093567251461988,0.16515004804844446,0.34941670069129493,100.0,48.771929824561404,55.55555555555556,35.442359249329755,83.0890052356021,322.8588498650488,0.8888357545876926
마포구,0.33333333333333326,0.6390191555664182,0.15789473684210525,0.04257622346137735,0.5084427219598204,100.0,84.01360544217688,71.42857142857143,31.81996086105675,84.44518940663761,371.7073271384427,1.6812661711630545
서대문구,0.33333333333333326,0.5756619877128859,0.22105263157894733,0.3440203926515324,0.3647588831926605,100.0,80.51948051948052,80.0,40.728476821192054,83.21984435797665,384.46780169864917,1.8388272284693594
서초구,0.08333333333333337,0.26449581752525475,0.12280701754385959,0.3668844867773622,0.8611506598555216,75.0,63.358778625954194,66.66666666666666,41.40417457305503,87.45310546060858,333.88272532628446,1.6986713150353316
성동구,0.33333333333333326,0.8281561876247503,0.28654970760233917,0.22293172241124015,0.7538996043403827,100.0,94.44444444444444,88.88888888888889,37.14996888612321,86.53846153846155,407.0217637579181,2.4248705553120455
성북구,0.33333333333333326,0.6145958083832335,0.22105263157894733,0.3705535302833005,0.45326721964431194,100.0,82.66666666666667,80.0,41.51260504201681,83.97464916251698,388.15392087120046,1.9928025232231266
송파구,0.24242424242424232,0.5827265922700053,0.19838056680161947,0.14532376108760214,0.5210086027135219,90.9090909090909,80.9090909090909,76.92307692307693,34.85643717196666,84.55235204855842,368.1500479617838,1.6898637652969912
양천구,0.9999999999999999,0.7022361526946106,0.0,0.16898035678205692,0.09375767615192743,166.66666666666669,87.5,50.0,35.55555555555556,80.90872857712236,420.6309507993446,1.9649741856285947
영등포구,0.19047619047619035,0.24047244494062725,0.30143540669856456,0.08236910228646277,0.3266368081546922,85.71428571428571,62.03389830508475,90.9090909090909,32.99595141700405,82.89473684210526,354.5479631875707,1.1413899525565372
용산구,0.33333333333333326,0.7326127384406445,0.3684210526315789,0.24156744571586763,0.3532799434940763,100.0,89.17525773195877,100.0,37.70070648683366,83.1219512195122,409.99791543830463,2.029214513615501
은평구,0.33333333333333326,0.6558126217444626,0.12280701754385959,0.22284261194129318,0.7986935732037992,100.0,84.93975903614458,66.66666666666666,37.14733542319749,86.92046739540143,375.67422852141016,2.133489157766748
종로구,0.16666666666666674,0.4992124755228877,0.2344497607655503,0.26266424761325036,0.48119529966146324,83.33333333333334,76.30331753554502,81.81818181818183,38.324175824175825,84.21282163105103,363.99183014228703,1.6441884502298183
중구,0.0,0.29958832335329344,0.12280701754385959,0.10662280084370068,0.9615541048047298,66.66666666666666,65.29411764705883,66.66666666666666,33.712715855573,88.3093525179856,320.6495193539507,1.4905722465455835
중랑구,0.2564102564102564,0.5507280892759936,0.2344497607655503,0.2797477109240374,0.5201623592935931,92.3076923076923,79.14438502673798,81.81818181818183,38.82903981264637,84.54513523006673,376.6444341953252,1.8414981766694307
